id,name,shortName,industry,industryLabel,icon,tagline,description,headquarters,factory,phone,email,careersUrl,careersLabel,roles,chemDivisions,labFacilities,featured,students
nifs,National Institute of Fundamental Studies (NIFS),NIFS,research,Research Institute,🔬,Multidisciplinary government research in natural & social sciences,"A multidisciplinary government institute dedicated to basic research in natural and social sciences, mathematics, and philosophy. NIFS hosts divisions for Solid State Chemistry, Energy & Advanced Material Chemistry, Natural Products Chemistry, and Food Chemistry.","Hantana Road, Kandy, Sri Lanka","Additional Office: Colombo, Sri Lanka",+94 81 232 3655,info@nifs.ac.lk,https://nifs.ac.lk/about/careers,Visit NIFS Careers,Research Chemist;Solid State Chemist;Natural Products Scientist;Food Chemist;Research Assistant;Senior Scientist,Solid State Chemistry;Energy & Advanced Material Chemistry;Natural Products Chemistry;Food Chemistry,FTIR Spectrophotometer;UV-Visible Spectrophotometer;ICP-OES;XRD;CNH Analyzer,TRUE,
iti,Industrial Technology Institute (ITI),ITI,research,Research Institute,🔬,R&D and accredited testing for industrial development,"Formerly known as CISIR, the Industrial Technology Institute (ITI) provides R&D, technical services, and accredited testing to support Sri Lanka's industrial development. It operates Analytical Chemistry Suites and a Residue Analysis Laboratory for food and environmental testing.","363, Bauddaloka Mawatha, Colombo 07, Sri Lanka","R&D Complex, Malabe, Sri Lanka",+94 11 269 3807,info@iti.lk,https://iti.lk/index.php/en/vacancies,Visit ITI Careers,Analytical Chemist;Food & Environmental Analyst;R&D Scientist;Lab Technician;Calibration Engineer,Analytical Chemistry Suite;Residue Analysis Laboratory (Food & Environmental),Spectrometers;Chromatographs;Calibration Tools;GC-MS;HPLC,FALSE,2021/SB/053;2021/SB/111
slintec,Sri Lanka Institute of Nanotechnology (SLINTEC),SLINTEC,research,Research Institute,🔬,"Nanotechnology R&D for energy, agriculture & healthcare","A public-private partnership focused on nanotechnology R&D for energy, agriculture, and healthcare applications. SLINTEC operates a Synthetic & Medicinal Organic Lab, Wet Chemical Lab, and a Nano Characterization Lab at the Nanotechnology & Science Park.","Nanotechnology & Science Park, Homagama, Sri Lanka",,+94 11 440 1400,info@slintec.lk,https://www.slintec.lk/,Visit SLINTEC Careers,Nanotechnology Researcher;Organic Chemist;Wet Chemical Lab Analyst;Materials Scientist;R&D Engineer,Synthetic & Medicinal Organic Lab;Wet Chemical Lab;Nano Characterization Lab,Electron Microscope (EM);Raman Spectroscopy;Particle Size Analyzers;X-ray Fluorescence (XRF),FALSE,
rrisl,Rubber Research Institute of Sri Lanka (RRISL),RRISL,research,Research Institute,🔬,World's oldest rubber research body,"The world's oldest rubber research institution, covering cultivation, processing, and product technology. RRISL's chemistry departments focus on raw rubber & chemical analysis, polymer chemistry, and process development, ensuring standards compliance for Sri Lanka's rubber industry.","Agalawatta, Sri Lanka","Technology Labs: Ratmalana, Sri Lanka",+94 34 224 7426,info@rrisl.gov.lk,https://rrisl.gov.lk/web/index.php/en/vacancies,Visit RRISL Careers,Polymer Chemist;Raw Rubber Analyst;Process Development Scientist;Quality Standards Chemist,Raw Rubber & Chemical Analysis;Polymer Chemistry;Process Development,Analytical Chemistry Instruments;Rubber Property Testing Apparatus;Rheometers;Tensile Testers,FALSE,
cri,Coconut Research Institute of Sri Lanka (CRI),CRI,research,Research Institute,🔬,National body for coconut science & value-addition,"The national body specializing in coconut science, productivity improvement, and value-addition of coconut-based products. CRI's Central Analytical Laboratory (CAL) performs chemical analysis of soil, water, fertilizers, and coconut-based food products.","Bandirippuwa Estate, Lunuwila, Sri Lanka",,+94 31 225 7400,info@cri.gov.lk,https://cri.gov.lk/web/index.php/en/career,Visit CRI Careers,Analytical Chemist;Soil & Water Chemist;Food Chemist;Agricultural Scientist,"Central Analytical Laboratory (CAL) — Soil, Water, Fertilizer & Food Analysis",Atomic Absorption Spectrophotometer (AAS);HPLC;GC;Moisture Analyzers,FALSE,2021/SB/037
tri,Tea Research Institute of Sri Lanka (TRI),TRI,research,Research Institute,🔬,Dedicated to the science & biochemistry of tea,"Dedicated to tea science including plant breeding, biochemistry, and processing technology. TRI's Biochemistry Division studies polyphenols, catechins, and caffeine. It uses HPLC for profiling tea components and GC for volatile compound analysis.","Talawakelle, Sri Lanka",,+94 52 222 2301,info@tri.gov.lk,https://www.tri.lk/,Visit TRI Careers,Biochemist;Tea Quality Analyst;Plant Scientist;Flavour & Aroma Chemist,"Biochemistry Division (Polyphenols, Catechins & Caffeine)",HPLC (Tea Component Profiling);GC (Volatile Compound Analysis);Biochemical Assay Kits,FALSE,
ichemc,Institute of Chemistry Ceylon (IChemC),IChemC,research,Research Institute,🔬,Professional & academic body for chemical science,"A professional and academic body offering a BSc Honours in Chemical Science and various diplomas. IChemC's Instrument Center houses UV-Visible and Fluorescence spectrophotometers, Flame/Furnace AAS, FT-IR, and Gas Chromatographs. It also operates a Computational Research Center for molecular modeling.","Rajagiriya, Sri Lanka",,+94 11 286 3541,info@chemCeylon.lk,https://ichemc.ac.lk/,Visit IChemC Vacancies,Analytical Chemist;Chemistry Lecturer / Trainer;Computational Researcher;Lab Demonstrator,Instrument Center;Computational Research Center (Molecular Modeling & Simulations),UV-Visible Spectrophotometer;Fluorescence Spectrophotometer;Flame/Furnace AAS;FT-IR;Gas Chromatographs,FALSE,
pri,Palmyrah Research Institute (PRI),PRI,research,Research Institute,🔬,Research on value-added palm products from the North,"Research arm of the Palmyrah Development Board focusing on value-added palm products. PRI operates an ISO 17025 accredited Analytical Lab, a Biochemistry Lab, and a Food & Technology Lab at its Jaffna Peninsula facility.","Kaithady, Jaffna Peninsula, Sri Lanka",,+94 21 221 5346,info@palmyrahboard.lk,https://pdb.gov.lk/palmyra-research-institute/,Visit PRI Careers,Analytical Chemist;Biochemist;Food Technologist;Lab Technician,Analytical Lab (ISO 17025 Accredited);Biochemistry Lab;Food & Technology Lab,Spectrophotometers;pH Meters;GC;HPLC;Separation Systems,FALSE,2019/SB/102;2019/SB/121;2020/SB/082;2020/SB/88;2020/SB10;2021/SB/096;2021/SB/105;2021/SB/028;2021/SB/113
lscl,Lanka Sugar Company (LSCL),Lanka Sugar (LSCL),research,Research Institute,🔬,Sugar & by-products manufacturing with on-site QC labs,"A state-owned enterprise manufacturing sugar and by-products such as ethanol and potable alcohol at its Pelwatte and Sevanagala units. Quality Control Labs use refractometers, pH meters, and polarimetry instruments to monitor sugar purity and sucrose content.","Pelwatte, Sri Lanka","Sevanagala, Sri Lanka",+94 55 227 5001,info@lankasugar.lk,https://lankasugar.lk/careers,Visit LSCL Careers,Quality Control Chemist;Sugar Process Analyst;Lab Technician;Ethanol Process Chemist,"Quality Control Laboratory (Sugar, Ethanol & Alcohol Production)",Refractometers (°Brix);pH Meters;Polarimetry;Moisture Analyzers;Spectrophotometers;Microscopes,FALSE,
hettigoda,Hettigoda Group (Siddhalepa),Hettigoda / Siddhalepa,research,Research Institute,🔬,Ayurveda-rooted herbal medicine & personal care,"A conglomerate rooted in Ayurveda, manufacturing herbal medicines and personal care items under the Siddhalepa brand. Labs are used for herbal ingredient identification, stability testing, and ISO/GMP compliance, with a strong focus on analytical quality profiling.","Ratmalana, Sri Lanka","Ratmalana, Sri Lanka",+94 11 263 7637,info@siddhalepa.com,https://siddhalepa.com/careers,Visit Siddhalepa Careers,Herbal Chemist;Quality Control Analyst;Stability Testing Officer;Microbiologist;GMP Compliance Officer,Herbal Ingredient Identification Lab;Stability Testing Lab (ISO/GMP);Microbiology Station,HPLC (Quality Profiling);GC;Stability Chambers;Microbiology Stations,FALSE,
